VOLTAGE=-57.314294808090736, I_K=-0.000002864213765, I_L=-0.634518274201889, I_Na=0.044675976017465, I_T=0.123815949545895, H=0.982116964626255, R=0.001173588261528
VOLTAGE=-57.318954098159210, I_K=-0.000002861556872, I_L=-0.634285259595463, I_Na=0.044593543718128, I_T=0.123765570586956, H=0.982119976086720, R=0.001173710851572
VOLTAGE=-57.323612383112163, I_K=-0.000002858876473, I_L=-0.634052295092040, I_Na=0.044511280031987, I_T=0.123715378640941, H=0.982123027461373, R=0.001173835228037
VOLTAGE=-57.328269659902283, I_K=-0.000002856172717, I_L=-0.633819380844392, I_Na=0.044429184638152, I_T=0.123665373367205, H=0.982126118609062, R=0.001173961389698
VOLTAGE=-57.332925925490372, I_K=-0.000002853445752, I_L=-0.633586517004886, I_Na=0.044347257216106, I_T=0.123615554425574, H=0.982129249388931, R=0.001174089335332
VOLTAGE=-57.337581176845362, I_K=-0.000002850695727, I_L=-0.633353703725481, I_Na=0.044265497445701, I_T=0.123565921476344, H=0.982132419660415, R=0.001174219063719
VOLTAGE=-57.342235410944291, I_K=-0.000002847922789, I_L=-0.633120941157732, I_Na=0.044183905007163, I_T=0.123516474180282, H=0.982135629283243, R=0.001174350573641
VOLTAGE=-57.346888624772291, I_K=-0.000002845127088, I_L=-0.632888229452786, I_Na=0.044102479581091, I_T=0.123467212198623, H=0.982138878117437, R=0.001174483863881
VOLTAGE=-57.351540815322579, I_K=-0.000002842308772, I_L=-0.632655568761386, I_Na=0.044021220848456, I_T=0.123418135193073, H=0.982142166023310, R=0.001174618933224
VOLTAGE=-57.356191979596431, I_K=-0.000002839467989, I_L=-0.632422959233871, I_Na=0.043940128490609, I_T=0.123369242825806, H=0.982145492861469, R=0.001174755780460
VOLTAGE=-57.360842114603194, I_K=-0.000002836604887, I_L=-0.632190401020178, I_Na=0.043859202189272, I_T=0.123320534759465, H=0.982148858492812, R=0.001174894404376
VOLTAGE=-57.365491217360251, I_K=-0.000002833719614, I_L=-0.631957894269840, I_Na=0.043778441626550, I_T=0.123272010657163, H=0.982152262778528, R=0.001175034803765
VOLTAGE=-57.370139284893021, I_K=-0.000002830812319, I_L=-0.631725439131988, I_Na=0.043697846484922, I_T=0.123223670182479, H=0.982155705580097, R=0.001175176977420
VOLTAGE=-57.374786314234939, I_K=-0.000002827883149, I_L=-0.631493035755349, I_Na=0.043617416447250, I_T=0.123175512999461, H=0.982159186759293, R=0.001175320924136
VOLTAGE=-57.379432302427453, I_K=-0.000002824932252, I_L=-0.631260684288253, I_Na=0.043537151196774, I_T=0.123127538772625, H=0.982162706178176, R=0.001175466642712
VOLTAGE=-57.384077246519993, I_K=-0.000002821959776, I_L=-0.631028384878627, I_Na=0.043457050417117, I_T=0.123079747166955, H=0.982166263699099, R=0.001175614131946
VOLTAGE=-57.388721143569988, I_K=-0.000002818965870, I_L=-0.630796137674000, I_Na=0.043377113792284, I_T=0.123032137847900, H=0.982169859184704, R=0.001175763390639
VOLTAGE=-57.393363990642833, I_K=-0.000002815950679, I_L=-0.630563942821501, I_Na=0.043297341006665, I_T=0.122984710481377, H=0.982173492497923, R=0.001175914417596
VOLTAGE=-57.398005784811865, I_K=-0.000002812914352, I_L=-0.630331800467858, I_Na=0.043217731745031, I_T=0.122937464733769, H=0.982177163501978, R=0.001176067211621
VOLTAGE=-57.402646523158381, I_K=-0.000002809857037, I_L=-0.630099710759407, I_Na=0.043138285692542, I_T=0.122890400271927, H=0.982180872060379, R=0.001176221771522
VOLTAGE=-57.407286202771608, I_K=-0.000002806778879, I_L=-0.629867673842081, I_Na=0.043059002534742, I_T=0.122843516763165, H=0.982184618036924, R=0.001176378096106
VOLTAGE=-57.411924820748695, I_K=-0.000002803680027, I_L=-0.629635689861420, I_Na=0.042979881957564, I_T=0.122796813875264, H=0.982188401295700, R=0.001176536184187
VOLTAGE=-57.416562374194690, I_K=-0.000002800560627, I_L=-0.629403758962565, I_Na=0.042900923647328, I_T=0.122750291276471, H=0.982192221701084, R=0.001176696034576
VOLTAGE=-57.421198860222539, I_K=-0.000002797420827, I_L=-0.629171881290266, I_Na=0.042822127290743, I_T=0.122703948635497, H=0.982196079117738, R=0.001176857646088
VOLTAGE=-57.425834275953072, I_K=-0.000002794260772, I_L=-0.628940056988873, I_Na=0.042743492574909, I_T=0.122657785621518, H=0.982199973410612, R=0.001177021017540
VOLTAGE=-57.430468618514986, I_K=-0.000002791080610, I_L=-0.628708286202346, I_Na=0.042665019187316, I_T=0.122611801904174, H=0.982203904444944, R=0.001177186147751
VOLTAGE=-57.435101885044837, I_K=-0.000002787880486, I_L=-0.628476569074251, I_Na=0.042586706815846, I_T=0.122565997153569, H=0.982207872086258, R=0.001177353035541
VOLTAGE=-57.439734072687031, I_K=-0.000002784660547, I_L=-0.628244905747758, I_Na=0.042508555148773, I_T=0.122520371040272, H=0.982211876200366, R=0.001177521679733
VOLTAGE=-57.444365178593799, I_K=-0.000002781420939, I_L=-0.628013296365649, I_Na=0.042430563874766, I_T=0.122474923235314, H=0.982215916653363, R=0.001177692079150
VOLTAGE=-57.448995199925186, I_K=-0.000002778161807, I_L=-0.627781741070310, I_Na=0.042352732682887, I_T=0.122429653410190, H=0.982219993311633, R=0.001177864232619
